,endTime,artistName,trackName,msPlayed
249,2019-09-02 01:57,Panic! At The Disco,We're So Starving,81426
250,2019-09-02 02:00,Never Shout Never,Bigcitydreams,193000
251,2019-09-02 02:04,Greyson Chance,Waiting Outside The Lines,232493
252,2019-09-02 02:07,Secondhand Serenade,Fall For You,185600
253,2019-09-02 02:09,Nickelback,Rockstar,81781
254,2019-09-02 02:09,The All-American Rejects,Gen Why? (DGAF),1088
255,2019-09-02 02:13,Quinn XCII,Always Been You,235720
256,2019-09-02 02:16,Arctic Monkeys,Old Yellow Bricks,187133
257,2019-09-02 02:18,AWOLNATION,Sail,109565
258,2019-09-02 02:18,Cavetown,Talk to Me,725
259,2019-09-02 02:21,Post Malone,Goodbyes (Feat. Young Thug),174960
260,2019-09-02 02:25,The Head and the Heart,All We Ever Knew,225560
261,2019-09-02 02:28,Panic! At The Disco,That Green Gentleman (Things Have Changed),195013
262,2019-09-02 02:31,The Front Bottoms,Jim Bogart,197973
263,2019-09-02 02:35,Weezer,Do You Wanna Get High?,207760
264,2019-09-02 02:36,TOTO,Hold the Line,74996
265,2019-09-02 02:41,blackbear,hot girl bummer,92904
266,2019-09-02 02:45,Avril Lavigne,Complicated,244506
267,2019-09-02 02:49,Milo,Almond Milk Paradise,232021
268,2019-09-02 02:50,The Griswolds,Beware The Dog,88914
269,2019-09-02 02:50,Avril Lavigne,What the Hell,2538
270,2019-09-02 02:53,Quinn XCII,Stacy - Acoustic,182186
271,2019-09-02 02:56,FUR,What Would I Do?,144146
272,2019-09-02 02:58,The Band CAMINO,Something To Hold On To,2080
273,2019-09-02 02:58,The Hotelier,Your Deep Rest,139557
274,2019-09-02 03:00,Weezer,Can't Knock The Hustle,43008
275,2019-09-02 03:03,Quinn XCII,Stacy - Acoustic,182186
276,2019-09-02 14:48,Fall Out Boy,"Ghostbusters (I'm Not Afraid) (from the ""Ghostbusters"" Original Motion Picture Soundtrack) (feat. Missy Elliott)",76279
277,2019-09-02 14:52,Quinn XCII,Always Been You,235720
278,2019-09-02 14:55,Avril Lavigne,Smile,209520
279,2019-09-02 14:59,Avril Lavigne,What the Hell,220707
280,2019-09-02 15:09,Andrew McMahon in the Wilderness,Birthday Song,896
281,2019-09-02 15:12,The Brobecks,Love At First Sight,190746
282,2019-09-02 15:27,Andrew McMahon in the Wilderness,Birthday Song,171014
283,2019-09-02 15:27,Rex Orange County,A Song About Being Sad,2858
284,2019-09-02 15:31,Quinn XCII,Always Been You,235720
285,2019-09-02 15:33,blackbear,chateau,115481
286,2019-09-02 15:37,Quinn XCII,Always Been You,193322
287,2019-09-02 15:40,Avril Lavigne,What the Hell,220706
288,2019-09-02 15:42,Twenty One Pilots,Chlorine,109140
289,2019-09-02 15:43,Quinn XCII,Stacy - Acoustic,55488
290,2019-09-02 17:30,WALK THE MOON,Lose You Again,1450
291,2019-09-02 17:33,Post Malone,Goodbyes (Feat. Young Thug),174960
292,2019-09-02 17:41,Cavetown,Talk to Me,277127
293,2019-09-02 17:44,Quinn XCII,Stacy - Acoustic,182186
294,2019-09-02 17:46,Bazzi,No Way!,112105
295,2019-09-02 17:47,Joywave,Confidence,0
296,2019-09-02 17:47,Chris Jobe,Bad Look Good,58201
297,2019-09-02 17:47,Fall Out Boy,Yule Shoot Your Eye Out - Bonus Track,1205
298,2019-09-02 17:47,One11Twenty,Two Summers,650
299,2019-09-02 17:47,Twenty One Pilots,Isle Of Flightless Birds,1461
300,2019-09-02 17:50,Post Malone,Goodbyes (Feat. Young Thug),174960
301,2019-09-02 17:52,My Chemical Romance,Fake Your Death,3360
302,2019-09-02 17:52,3OH!3,STARSTRUKK (feat. Katy Perry),122545
303,2019-09-02 17:55,Von Wegen Lisbeth,Lang lebe die Störung im Betriebsablauf,166160
304,2019-09-02 18:00,My Chemical Romance,Famous Last Words,299226
305,2019-09-02 18:02,Paramore,26,120503
306,2019-09-02 18:02,The Band CAMINO,Berenstein,1173
307,2019-09-02 18:06,Weezer,Can't Knock The Hustle,220999
308,2019-09-02 18:42,Quinn XCII,Always Been You,235720
309,2019-09-02 18:44,Grouplove,Bitin' the Bullet,725
310,2019-09-02 18:44,Cage The Elephant,Sweetie Little Jean,86254
311,2019-09-02 18:44,Von Wegen Lisbeth,Chérie,1151
312,2019-09-02 18:44,Father John Misty,The Ideal Husband,1173
313,2019-09-02 18:44,Rachel Bay Jones,Anybody Have a Map?,4991
314,2019-09-02 18:45,Sledding With Tigers,That One Limp Bizkit Song,52018
315,2019-09-02 18:47,Grouplove,Bitin' the Bullet,11305
316,2019-09-02 18:47,Von Wegen Lisbeth,Chérie,178146
317,2019-09-02 22:38,The Band CAMINO,Something To Hold On To,777
318,2019-09-02 22:41,Quinn XCII,Stacy - Acoustic,182186
319,2019-09-02 22:45,Fall Out Boy,Sophomore Slump Or Comeback Of The Year,203760
320,2019-09-02 22:49,AJR,Come Hang Out,266255
321,2019-09-02 22:53,Twenty One Pilots,Fake You Out,231320
322,2019-09-02 22:56,Kevin Devine,You're Trailing Yourself,172249
323,2019-09-02 22:58,Tom Rosenthal,"What's Getting You Down, James?",91812
324,2019-09-02 23:00,The Mowgli's,Spacin Out,174797
325,2019-09-02 23:04,Have Mercy,Let's Talk About Your Hair,194177
326,2019-09-02 23:05,Years & Years,If You're Over Me,75871
